epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.866,3.83634,4.79927,3.91015,0.00129,0.04183,0.00092,0.00024,nan,nan,nan,0.000221332,0.000221332,0.000221332
2,292.345,3.10774,3.26076,2.58343,0.51569,0.03909,0.03237,0.01207,2.86268,2.91979,2.34068,0.000439273,0.000439273,0.000439273
3,427.839,2.43785,2.31589,1.917,0.51207,0.11583,0.12419,0.05628,2.14766,1.99648,1.68798,0.000652812,0.000652812,0.000652812
4,562.781,2.14611,1.96685,1.69253,0.43895,0.18014,0.17461,0.08572,1.93897,1.74036,1.56826,0.00064719,0.00064719,0.00064719
5,704.953,1.99161,1.77829,1.56795,0.47936,0.23856,0.23073,0.11232,1.81325,1.52419,1.47805,0.000640587,0.000640587,0.000640587
6,840.995,1.90671,1.64292,1.50297,0.55679,0.2706,0.26204,0.12536,1.72762,1.46188,1.41777,0.000633983,0.000633983,0.000633983
7,976.591,1.83092,1.53285,1.45208,0.40164,0.29382,0.30289,0.14477,1.70285,1.36559,1.39472,0.00062738,0.00062738,0.00062738
8,1111.68,1.78591,1.46744,1.41902,0.44499,0.34118,0.34217,0.1827,1.62335,1.28585,1.34991,0.000620777,0.000620777,0.000620777
9,1247.39,1.73237,1.39695,1.38581,0.41856,0.37194,0.34805,0.18417,1.58265,1.23013,1.32058,0.000614174,0.000614174,0.000614174
10,1382.12,1.67461,1.34149,1.35371,0.54186,0.38749,0.40456,0.22088,1.54674,1.17501,1.28475,0.00060757,0.00060757,0.00060757
11,1515.75,1.63961,1.2858,1.32621,0.57915,0.39139,0.41513,0.21813,1.51549,1.12275,1.27647,0.000600967,0.000600967,0.000600967
12,1649.66,1.62116,1.25783,1.31741,0.53516,0.40587,0.41542,0.21835,1.51513,1.11196,1.26566,0.000594364,0.000594364,0.000594364
13,1785.24,1.60161,1.22338,1.29773,0.58716,0.42824,0.44872,0.24025,1.48876,1.07398,1.2542,0.00058776,0.00058776,0.00058776
14,1920.22,1.58402,1.20561,1.29128,0.60595,0.44334,0.45738,0.23994,1.45509,1.05656,1.24062,0.000581157,0.000581157,0.000581157
15,2054.06,1.55141,1.1704,1.27803,0.52818,0.44009,0.45272,0.25269,1.45499,1.0527,1.23543,0.000574554,0.000574554,0.000574554
